,Unnamed: 0,Date,close,Change %_x,return_1m,return_daily,return_binary,balticPrice,balticOpen,balticHigh,balticLow,low,Change %_y,cftcValue,high,chinaMANMM101CNM189N,cmt Asset Manager Longs,cmt Asset Manager Shorts,cmt Asset Manager Net,cmt Leveraged Funds Longs,cmt Leveraged Funds Shorts,cmt Leveraged Net,cmt Net Net % Long ,fredValue,anfciValue,LOCATION,open,SUBJECT,MEASURE,FREQUENCY,ltintValue,Flag Codes,A2P2,ABCP,ABSI,ABSSPREAD,BAA,BDG,BONDGR,CARSPREAD,CBCAR,CBILL,CBPER,CCDQ,CCG,CCINC,CG,CILARGE,CISMALL,CITA,CMBS,CMBSI,COMMODLIQ,CONTA,CPH,CPR,CRE,CRG,CTABS,CTERM,CTF,CTMBS,CWILL,D10,DBC,DCLOSE,DCOMM,DHE,DNET,DOTH,DURSPREAD,EQUITYLIQ,FAILS,FAILSA,FAILSC,FAILSMBS,FC,FCORP,FG,FINS,GSE,GVL,HH,HOUSSPREAD,HY,INS,ITA,JINC,LHY,LIBID,LIG,LPH,MBONDGR,MBSI,MCAP,MDQ,MG,MINC,MLIQ10,MMF,MSWAP,NACMM,NCL,NFC,OEQ,OINT,PENS,RATELIQ,REIT,REPO,REPOA,REPOGR,REPOMORT,RRE,RTA,RTERM,SBD,SMALL,SPCILARGE,SPCISMALL,SPOVX,SPR210,SPR23M,STA,STKGR,STLOC,SWAP10,SWAP2,SWAP3M,TABS,TED,TERM,USD,VIX,VOL1,VOL3,W500,Macro,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Net Position %,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Net Position %.1,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
0,0,9/4/2013,5042.80,-0.69%,-0.024984425,-0.006916792,0,1215,"1,215.00","1,215.00","1,215.00","4,993.40",4.02%,345.1,5042.80,3.14E+13,2120,0,,,5453,,,10666.2,-0.64482,,5042.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,9/3/2013,5018.40,0.55%,-0.025697159,0.004895983,0,1168,"1,168.00","1,168.00","1,168.00","5,007.10",2.55%,345.1,5051.70,3.14E+13,2120,0,100.00%,2371,5453,-39.40%,-9.70%,10666.2,-0.64482,,5018.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE,130903,256741,CME,0,256,10443,1052,7299,0,6407,0,100.00%,2138,2767,52,96.30%,0,0,9649,10118,794,325,398,-98,0,-91,-61,0,0,724,511,14,0,0,0,488,434,-90,-36,100,10.1,69.9,0,61.4,0,0,20.5,26.5,0.5,0,0,0,92.4,96.9,7.6,3.1,23,,,0,10,0,0,7,,,0,0,0,20,5,57.3,96.8,75.9,96.9,57.2,96.4,75.8,96.4,"""(GSCI X $250)""",F90,FutOnly,,
2,2,8/30/2013,5042.20,-0.97%,-0.03265748,-0.005317123,0,1132,"1,132.00","1,132.00","1,132.00","5,000.00",-0.35%,345.1,5054.60,3.14E+13,2120,0,,,5453,,,10666.2,-0.64482,,5042.2,,,,,,-0.014544876,-0.004461049,-0.001938834,0.014424988,0.006773581,-0.002036459,-0.001522502,-0.002472189,-0.001865117,-0.009026108,-0.00181163,-0.002106024,-0.001833253,-0.001829654,-0.00228617,-0.00137304,-0.00123336,-0.002137737,-0.007798892,-0.001333275,-0.001817136,-0.00176682,-0.001928584,0.00558657,-0.000739828,-0.001771641,-0.01505217,-0.008048006,-0.008771339,-0.003867373,-0.001797071,-0.002105346,-0.002025244,-0.002125295,-0.001940125,-0.001747942,-0.001685648,-0.001858017,-0.002685653,0.000712617,-0.001787497,-0.002113947,-0.001743308,-0.00099769,-0.001749521,-0.001853159,-0.001977079,-0.020801061,-0.001822745,-0.001898166,-0.001848305,-0.004042434,-0.017610527,-0.001843959,-0.001743563,-0.031164399,-0.04057587,-0.071465173,-0.11424868,-0.00195474,-0.001825537,-0.001576571,-0.002046766,-0.002086968,-0.001703298,-0.001915641,-0.00230247,-0.001649111,-0.009888303,-0.010523829,-0.003295877,-0.001535592,-0.002384938,-0.005629299,-0.001880896,-0.001724304,-0.000952208,-0.001258776,-0.000515253,-0.000608215,-0.000937237,-0.001069176,-0.002247163,-0.002710291,-0.001740604,-0.001930086,-0.001150058,-0.000712948,-0.006612508,-0.012878421,-0.002858122,-0.001124139,-0.001808576,-0.001822248,0.007489488,-0.00616753,-0.008966714,-0.001614875,-0.078514486,-0.001484366,-0.001658183,-0.01434603,0.002274223,0.000108159,-0.001602408,-0.047137897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,8/29/2013,5090.50,-0.77%,-0.0518533,-0.005111482,0,1136,"1,136.00","1,136.00","1,136.00","5,058.60",-0.87%,345.1,5105.20,3.14E+13,2120,0,,,5453,,,10666.2,-0.64482,,5090.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,8/28/2013,5072.40,0.85%,-0.05258115,0.006139106,0,1146,"1,146.00","1,146.00","1,146.00","5,068.20",-1.97%,345.1,5155.80,3.14E+13,2120,0,,,5453,,,10666.2,-0.64482,,5072.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,8/27/2013,4966.00,1.89%,-0.044019801,0.019019331,0,1169,"1,169.00","1,169.00","1,169.00","4,961.80",0.34%,345.1,5067.40,3.14E+13,1800,264,74.40%,2610,4940,-30.90%,-8.30%,10666.2,-0.64482,,4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE,130827,256741,CME,0,256,10045,1150,7299,91,6468,0,100.00%,1414,2256,38,96.70%,0,0,9161,9684,884,361,183,0,0,-42,59,0,0,105,227,0,0,0,0,122,185,61,-2,100,11.4,72.7,0.9,64.4,0,0,14.1,22.5,0.4,0,0,0,91.2,96.4,8.8,3.6,22,,,,10,0,0,6,,,0,0,0,20,4,58.8,96.4,75,96.4,58.8,95.1,75,95.1,"""(GSCI X $250)""",F90,FutOnly,,
6,6,8/26/2013,4972.30,0.20%,-0.020033907,-0.001150373,0,,,,,"4,957.10",,345.1,4987.40,3.14E+13,1800,264,,,4940,,,10666.2,-0.64482,,4972.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,8/23/2013,4914.80,0.95%,-0.01595147,0.008567999,0,1165,"1,165.00","1,165.00","1,165.00","4,907.50",0.60%,345.4,4968.00,3.14E+13,1800,264,,,4940,,,10666.2,-0.65213,,4914.8,,,,,,-0.014248953,-0.004687792,-0.001946478,0.015921901,0.007284972,-0.001819416,-0.00093177,-0.002609853,-0.001872114,-0.009119629,-0.002045111,-0.002136169,-0.001834416,-0.001698805,-0.002290876,-0.001214998,-0.001169983,-0.00207794,-0.007918755,-0.001491088,-0.001817131,-0.001784869,-0.001925425,0.005449137,-0.000502215,-0.001771957,-0.01402934,-0.007473482,-0.008404239,-0.003721418,-0.001802804,-0.00223056,-0.002012212,-0.002194285,-0.00191945,-0.001871421,-0.001618176,-0.001881339,-0.002463,0.000714789,-0.001824366,-0.002128998,-0.001764178,-0.001134729,-0.001755177,-0.001852001,-0.00200941,-0.022161875,-0.001835786,-0.001903914,-0.001848662,-0.004173999,-0.017721358,-0.001842098,-0.00170664,-0.030456286,-0.041836859,-0.072468014,-0.118252034,-0.002096881,-0.001825203,-0.001632347,-0.002056692,-0.002084233,-0.001673859,-0.001813714,-0.002257643,-0.001651509,-0.009786059,-0.010135876,-0.003288156,-0.001552786,-0.0023644,-0.005747643,-0.001880647,-0.001724214,-0.001000105,-0.001310229,-0.000522611,-0.000551924,-0.000949747,-0.001081966,-0.002231347,-0.002695267,-0.001740712,-0.001740684,-0.001084011,-0.000694434,-0.006956276,-0.012765255,-0.002962488,-0.001183482,-0.001785525,-0.001822206,0.007458862,-0.005087272,-0.009736577,-0.001611964,-0.079599554,-0.001486125,-0.001687353,-0.015566297,-0.000622297,-0.002030036,-0.001500257,-0.044602857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8/22/2013,4902.70,0.15%,0.003480439,0.001550166,1,1158,"1,158.00","1,158.00","1,158.00","4,895.20",0.17%,345.4,4923.30,3.14E+13,1800,264,,,4940,,,10666.2,-0.65213,,4902.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,8/21/2013,4926.90,-0.49%,0.00471979,-0.004899633,1,1156,"1,145.00","1,156.00","1,145.00","4,897.90",0.96%,345.4,4927.00,3.14E+13,1800,264,,,4940,,,10666.2,-0.65213,,4926.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,8/20/2013,4957.40,-0.63%,0.003269911,-0.006184694,1,1145,"1,145.00","1,145.00","1,145.00","4,908.00",2.69%,345.4,4962.70,3.14E+13,1598,152,82.60%,1911,4304,-38.50%,-11.90%,10666.2,-0.65213,,4957.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE,130820,256741,CME,0,256,9862,1150,7299,133,6409,0,100.00%,1309,2029,38,96.30%,0,0,9039,9499,823,363,-192,-2,-346,133,-7,0,0,269,721,-595,0,0,0,-202,-87,10,-105,100,11.7,74,1.3,65,0,0,13.3,20.6,0.4,0,0,0,91.7,96.3,8.3,3.7,23,,,,10,0,0,7,,,0,0,0,21,4,59.8,96.3,74.5,96.3,59.8,94.6,74.5,94.6,"""(GSCI X $250)""",F90,FutOnly,,
11,11,8/19/2013,4967.20,-0.06%,-0.002432506,-0.001882348,0,1115,"1,115.00","1,115.00","1,115.00","4,946.80",1.18%,345.4,4984.40,3.14E+13,1598,152,,,4304,,,10696.6,-0.65213,,4967.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
